person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
12879.0,5,7.0,7.75,",10.75",10.75,11.71,1
12879.0,2,14.0,15.25,16.75,16.75,22.57,1
12879.0,2,24.0,26.5,25.25,25.25,16.32,1
12882.0,6,0.0,0.5,",0.75,1.5",1.5,13.120000000000001,1
12882.0,7,7.0,7.5,8.5,8.5,15.24,1
12882.0,4,14.0,,",17.75,20.5",20.5,21.47,1
12882.0,9,21.0,,",27.5",,19.88,0
12882.0,9,24.0,28.25,",27.5",27.5,19.88,1
12883.0,8,0.0,0.5,",0.5,1.5,4.25",4.25,6.91,1
12883.0,0,7.0,9.25,",10.25,11.5,12.0,12.25,12.5,14.0",,19.39,0
12883.0,4,14.0,,",14.0,19.75,21.25,23.5,23.75",,15.510000000000002,0
12883.0,4,24.0,,",24.75,26.25",,5.74,0
12883.0,6,17.0,18.0,",19.75,21.25,23.5,23.75,24.75",24.75,10.44,1
12884.0,8,0.0,2.25,,,0.0,0
12884.0,8,7.0,7.0,",7.75",7.75,26.04,1
12884.0,5,14.0,15.0,,,0.0,0
12884.0,3,17.0,,,,0.0,0
12884.0,4,21.0,,,,0.0,0
12884.0,9,24.0,,,,0.0,0
12885.0,9,0.0,,",5.0",,1.01,0
12885.0,9,21.0,,",24.5",,4.65,0
12885.0,8,7.0,7.0,,,0.0,0
12885.0,7,14.0,15.0,14.25,14.25,1.8399999999999999,1
12885.0,3,24.0,,",24.5",,4.65,0
12887.0,7,0.0,0.75,1.0,1.0,9.63,1
12887.0,8,7.0,7.0,",7.0",7.0,23.1,1
12887.0,5,14.0,14.25,",16.25",16.25,29.2,1
12887.0,1,17.0,18.25,",18.25",18.25,13.09,1
12887.0,6,21.0,21.5,",22.75",22.75,11.24,1
12889.0,0,0.0,2.0,,,0.0,0
12889.0,0,14.0,14.5,",15.0",15.0,24.96,1
12889.0,4,7.0,,",15.0",15.0,24.96,1
12889.0,7,21.0,21.5,-1,,0.0,0
12889.0,8,24.0,24.0,",28.5",28.5,27.36,1
12890.0,7,0.0,0.5,1.25,1.25,13.76,1
12890.0,5,7.0,7.0,",7.0",7.0,28.87,1
12890.0,0,17.0,18.0,",17.25",17.25,20.36,1
12890.0,9,21.0,21.0,",26.75",26.75,18.57,1
12890.0,4,24.0,24.0,",26.75,27.5",27.5,44.89,1
12891.0,2,0.0,,1.25,1.25,0.64,1
12891.0,8,7.0,7.5,",7.75",,1.56,0
12891.0,4,17.0,,",18.25,26.75",,8.290000000000001,0
12891.0,9,24.0,,",26.75",,2.35,0
12892.0,7,0.0,0.25,0.75,0.75,9.44,1
12892.0,5,7.0,7.75,",7.75",7.75,8.26,1
12892.0,5,24.0,24.25,",24.5",24.5,13.5,1
10623.0,2,0.0,0.75,-1,,0.0,0
10623.0,9,7.0,7.0,,,0.0,0
10623.0,9,21.0,,,,0.0,0
10623.0,8,17.0,20.5,,,0.0,0
10623.0,6,24.0,24.5,,,0.0,0
12896.0,0,0.0,1.25,,,0.0,0
12896.0,6,7.0,7.25,",7.5,11.25",11.25,10.98,1
12896.0,3,21.0,,",28.0",,3.63,0
12896.0,4,24.0,,",28.0,29.5",,5.34,0
12897.0,6,0.0,1.25,",1.0",1.0,32.81,1
12897.0,1,14.0,14.0,",17.0",17.0,24.66,1
12897.0,4,21.0,22.5,",23.0",,13.96,0
12898.0,2,0.0,,0.5,0.5,10.86,1
12898.0,7,17.0,17.25,17.75,17.75,10.67,1
12898.0,1,24.0,24.25,",24.5,26.25,26.75",26.75,32.31,1
12899.0,2,0.0,,3.0,3.0,1.7000000000000002,1
12899.0,2,24.0,,24.25,24.25,2.62,1
12899.0,9,7.0,13.5,",12.0",,0.32,0
12899.0,6,14.0,14.0,",14.25",14.25,10.72,1
12899.0,1,21.0,23.0,",21.5,23.75,24.25",,5.7,0
12900.0,1,0.0,1.0,,,0.0,0
12900.0,4,7.0,,,,0.0,0
12900.0,4,24.0,,,,0.0,0
12900.0,6,17.0,,,,0.0,0
12900.0,9,21.0,,,,0.0,0
12901.0,9,0.0,0.5,",1.75",1.75,12.34,1
12901.0,2,14.0,14.25,16.5,16.5,15.18,1
12901.0,0,21.0,21.0,",22.25",22.25,23.46,1
12902.0,8,0.0,0.0,",3.5",3.5,11.97,1
12902.0,5,7.0,8.0,",10.0",10.0,12.7,1
12902.0,2,14.0,20.0,16.25,16.25,2.95,1
12902.0,2,24.0,,24.25,24.25,20.92,1
12904.0,3,0.0,,,,0.0,0
12904.0,3,14.0,16.5,",16.5",16.5,5.45,1
12904.0,5,17.0,18.25,",18.0",18.0,13.78,1
12904.0,9,24.0,,",26.0",,5.6,0
12905.0,7,0.0,1.75,-1,,0.0,0
12905.0,7,14.0,14.0,-1,,0.0,0
12905.0,1,7.0,8.0,,,0.0,0
12905.0,0,17.0,18.0,",19.25,23.5",,2.16,0
12905.0,4,21.0,,",23.5,24.75,25.75",,4.48,0
12906.0,7,0.0,,-1,,0.0,0
12906.0,5,7.0,7.0,",8.25",8.25,25.94,1
12906.0,1,17.0,17.5,",20.0",20.0,21.34,1
12906.0,1,24.0,24.75,,,0.0,0
12906.0,4,21.0,,",29.75",29.75,29.92,1
10446.0,1,0.0,1.25,,,0.0,0
10446.0,1,17.0,17.0,,,0.0,0
10446.0,2,7.0,8.25,-1,,0.0,0
10446.0,7,14.0,,-1,,0.0,0
10446.0,4,24.0,26.75,,,0.0,0
12908.0,6,0.0,0.5,",0.0",0.0,21.22,1
12908.0,9,7.0,7.25,",8.0",8.0,12.19,1
12908.0,7,17.0,17.0,17.5,17.5,21.28,1
12908.0,2,21.0,21.0,21.25,21.25,22.3,1
12911.0,7,0.0,1.0,1.25,1.25,23.35,1
12911.0,2,14.0,14.25,14.5,14.5,18.31,1
12911.0,8,17.0,17.5,",20.0",20.0,24.65,1
12912.0,8,0.0,0.25,,,0.0,0
12912.0,3,7.0,,",12.75",12.75,25.86,1
12912.0,3,14.0,,",19.5",19.5,29.84,1
12912.0,6,17.0,18.0,",19.5",19.5,29.84,1
12912.0,9,21.0,23.5,",23.0",23.0,22.06,1
12912.0,5,24.0,24.5,,,0.0,0
10681.0,4,0.0,,",0.0",,4.23,0
10681.0,5,7.0,12.25,",10.25,12.75",,3.5700000000000003,0
10681.0,0,14.0,,",19.5",,2.8200000000000003,0
10681.0,7,17.0,17.5,19.5,19.5,2.8200000000000003,1
10681.0,7,21.0,21.5,23.25,23.25,9.49,1
10681.0,8,24.0,25.75,",26.5",,0.41000000000000003,0
12913.0,7,0.0,0.0,1.0,1.0,33.48,1
12913.0,1,7.0,10.5,",8.25",8.25,22.99,1
12913.0,1,21.0,,",23.25",23.25,19.89,1
12913.0,5,14.0,,",17.75,20.5",,49.94,0
12913.0,5,17.0,17.5,",17.75",17.75,25.01,1
12913.0,3,24.0,,",26.75",26.75,27.36,1
12914.0,4,0.0,6.5,",0.5,2.75",2.75,38.410000000000004,1
12914.0,6,14.0,14.75,",15.25",15.25,20.03,1
12914.0,2,17.0,20.0,17.75,17.75,28.28,1
12914.0,2,21.0,,-1,,0.0,0
12914.0,1,24.0,27.75,,,0.0,0
12916.0,0,0.0,0.25,",2.0,3.0",3.0,24.77,1
12916.0,5,7.0,7.0,",8.25",8.25,16.26,1
12916.0,5,14.0,14.25,",15.5",15.5,13.93,1
12916.0,3,21.0,22.75,",25.0",25.0,35.69,1
12916.0,2,24.0,27.5,25.0,25.0,35.69,1
12917.0,0,0.0,1.0,,,0.0,0
12917.0,0,14.0,14.25,",14.75",14.75,11.35,1
12917.0,1,21.0,21.0,",22.5",22.5,10.27,1
12917.0,9,24.0,26.5,",24.25",24.25,14.03,1
12918.0,9,0.0,2.5,",3.25",3.25,10.44,1
12918.0,9,7.0,,",9.0",,8.9,0
12918.0,9,14.0,15.0,",15.75",15.75,10.52,1
12918.0,3,17.0,17.5,",17.0",17.0,16.04,1
12919.0,1,0.0,1.75,",2.0",2.0,22.49,1
12919.0,5,7.0,8.0,,,0.0,0
12919.0,0,14.0,15.0,",15.25",15.25,34.3,1
12919.0,0,21.0,22.25,",22.5",22.5,30.77,1
12919.0,6,17.0,18.0,",22.5",22.5,30.77,1
12919.0,8,24.0,24.0,",26.0",26.0,32.14,1
12920.0,5,0.0,0.5,",0.75,3.0,3.75",3.75,13.93,1
12920.0,3,7.0,,",11.0",11.0,6.61,1
12920.0,7,14.0,14.75,14.75,14.75,8.89,1
12920.0,7,21.0,21.25,21.25,21.25,0.41000000000000003,1
12920.0,2,17.0,,17.25,17.25,1.81,1
12920.0,1,24.0,24.5,",24.0,24.5,24.75,25.75,26.0,26.25,27.75,28.25",,31.81,0
12925.0,2,0.0,1.0,-1,,0.0,0
12925.0,0,7.0,7.0,",10.25",10.25,18.13,1
12925.0,3,14.0,14.25,",18.0",18.0,559.34,1
12925.0,8,17.0,17.25,",18.0",18.0,559.34,1
12925.0,8,24.0,25.25,",25.0",25.0,23.92,1
12925.0,6,21.0,21.0,",25.0",25.0,23.92,1
12926.0,3,0.0,,",0.75",0.75,11.46,1
12926.0,2,7.0,,9.5,9.5,16.5,1
12926.0,6,21.0,22.25,",22.25",22.25,28.7,1
12927.0,4,0.0,,,,0.0,0
12927.0,4,17.0,,,,0.0,0
12927.0,9,7.0,,,,0.0,0
12927.0,1,14.0,16.25,,,0.0,0
12927.0,8,24.0,26.75,",27.5",27.5,19.35,1
12929.0,8,0.0,0.0,,,0.0,0
12929.0,8,17.0,18.0,",18.0,19.25",19.25,7.2299999999999995,1
12929.0,8,21.0,23.25,",24.0",,3.89,0
12929.0,3,7.0,,,,0.0,0
12929.0,2,24.0,,24.0,24.0,3.89,1
5031.0,7,0.0,0.0,-1,,0.0,0
5031.0,7,21.0,25.5,-1,,0.0,0
5031.0,0,14.0,14.0,",17.25,19.5,19.75",,6.63,0
5031.0,9,17.0,,",17.25,19.5,19.75",,6.63,0
16317.0,1,0.0,0.25,",0.5,4.0",,11.809999999999999,0
16317.0,7,7.0,8.5,7.5,7.5,8.71,1
16317.0,7,14.0,14.25,16.25,16.25,5.08,1
16317.0,0,24.0,25.0,",25.5,26.25,28.5",,15.260000000000002,0
12932.0,3,0.0,1.5,",3.0",3.0,23.21,1
12932.0,9,7.0,7.5,",8.0",8.0,18.94,1
12932.0,0,14.0,14.0,",15.0",15.0,15.2,1
12932.0,8,21.0,21.5,",21.25",21.25,7.5600000000000005,1
12932.0,8,24.0,24.0,",25.5",25.5,33.01,1
14024.0,9,0.0,0.5,",1.25,2.0,2.75,3.75,4.75",,6.74,0
14024.0,3,7.0,,",7.25",,1.46,0
14024.0,6,14.0,15.0,",14.5,15.75,16.5,18.25,19.75",19.75,13.26,1
14024.0,5,17.0,18.75,",18.25,19.75",19.75,7.050000000000001,1
14024.0,0,21.0,23.75,",23.25,24.0,25.5,26.75,27.75",,14.09,0
14024.0,4,24.0,26.0,",24.0,25.5,26.75,27.75,28.5",,14.879999999999999,0
12934.0,8,0.0,0.25,",3.25",3.25,27.96,1
12934.0,8,24.0,24.0,",25.5",25.5,21.1,1
12934.0,5,17.0,17.0,,,0.0,0
12934.0,9,21.0,21.0,",25.5",25.5,21.1,1
9467.0,2,0.0,,0.25,0.25,6.16,1
9467.0,3,7.0,,",11.0",,0.6900000000000001,0
9467.0,4,14.0,,",16.25,17.75,20.25",,11.59,0
9467.0,4,21.0,,",25.0,25.5,28.0,29.0",,11.3,0
9467.0,5,17.0,17.75,",17.75,20.25",20.25,9.32,1
9467.0,8,24.0,25.0,",25.0",25.0,5.73,1
12936.0,4,0.0,,",4.0,4.5",,6.38,0
12936.0,2,14.0,,17.25,17.25,0.6000000000000001,1
12936.0,1,17.0,17.25,",17.25,19.5,20.0",,4.23,0
12936.0,1,21.0,21.0,",22.75,23.0,25.0,26.0",,6.1899999999999995,0
12936.0,8,24.0,27.25,",25.0,26.0,28.5",,3.6500000000000004,0
12937.0,7,0.0,0.25,-1,,0.0,0
12937.0,2,21.0,,24.25,24.25,1.81,1
12937.0,1,24.0,24.25,",24.25,28.0,28.75",,12.43,0
12938.0,0,0.0,1.25,",2.0",2.0,16.87,1
12938.0,4,7.0,9.5,",12.0",12.0,29.65,1
12938.0,2,14.0,,16.75,16.75,19.58,1
12938.0,1,17.0,17.5,",19.75",19.75,14.17,1
12938.0,8,21.0,22.75,",25.25",25.25,19.81,1
12938.0,6,24.0,24.0,",25.25",25.25,19.81,1
12939.0,9,0.0,,",5.75",5.75,21.33,1
12939.0,4,7.0,,,,0.0,0
12939.0,2,14.0,,17.75,17.75,32.53,1
12939.0,2,17.0,18.75,17.75,17.75,32.53,1
12939.0,2,24.0,24.25,-1,,0.0,0
12939.0,0,21.0,21.25,",23.5",23.5,22.42,1
12940.0,4,0.0,,",7.25",,15.91,0
12940.0,4,14.0,14.75,",15.25,17.25",17.25,20.07,1
12940.0,6,7.0,9.75,",7.25",7.25,15.91,1
12940.0,9,17.0,21.0,",17.25",17.25,11.41,1
12940.0,8,24.0,24.25,",25.25",25.25,5.01,1
12942.0,4,0.0,,",4.25,5.5,8.75",,5.89,0
12942.0,7,7.0,7.25,8.75,8.75,0.68,1
12942.0,3,17.0,,,,0.0,0
12942.0,9,24.0,28.5,,,0.0,0
12943.0,9,0.0,4.5,,,0.0,0
12943.0,1,7.0,7.0,",8.5,8.75,9.25",9.25,27.560000000000002,1
12943.0,7,14.0,15.5,15.5,15.5,12.13,1
12943.0,2,21.0,,23.0,23.0,17.38,1
12947.0,2,0.0,,1.25,1.25,1.6800000000000002,1
12947.0,0,7.0,8.25,",7.0,10.75,12.5,12.75",,14.870000000000001,0
12947.0,0,14.0,,",18.75,19.0,19.75,21.0",,7.1000000000000005,0
12947.0,6,17.0,18.25,",18.75,19.0,19.75,21.0,23.0",23.0,14.16,1
12951.0,5,0.0,0.0,",0.5,0.75,2.5",2.5,10.43,1
12951.0,9,7.0,7.25,",7.25,7.5,7.75,9.5,11.25,12.75,13.0",13.0,16.509999999999998,1
12951.0,8,14.0,14.25,",15.75,16.0,16.5,17.5,19.0",,12.169999999999998,0
12951.0,8,24.0,24.5,",25.25,25.75,26.75,27.0,27.5,28.0,28.5",28.5,25.009999999999998,1
12953.0,6,0.0,0.0,",2.0,2.5,3.0",3.0,12.129999999999999,1
12953.0,2,7.0,12.75,8.5,8.5,1.65,1
12953.0,7,14.0,14.0,14.0,14.0,2.56,1
12953.0,0,17.0,18.0,",18.5,21.5,22.5",,9.8,0
12953.0,8,21.0,23.25,",21.5,22.5,25.25",,11.75,0
12953.0,9,24.0,29.0,",25.25,29.5",,7.609999999999999,0
9807.0,8,0.0,5.5,",2.5",2.5,27.49,1
9807.0,8,7.0,7.25,,,0.0,0
9807.0,1,14.0,14.25,",19.0",19.0,17.11,1
9807.0,0,17.0,,",19.0",19.0,17.11,1
9807.0,7,24.0,24.5,25.75,25.75,26.89,1
12954.0,6,0.0,0.0,",0.5",0.5,15.45,1
12954.0,6,17.0,18.0,",18.0",18.0,10.93,1
12954.0,6,24.0,24.0,",24.75,25.25",25.25,15.450000000000001,1
12954.0,1,7.0,7.25,",7.25",7.25,19.96,1
12954.0,3,14.0,,",18.0",18.0,10.93,1
12954.0,7,21.0,23.25,23.5,23.5,6.62,1
12958.0,2,0.0,2.0,1.75,1.75,3.19,1
12958.0,2,7.0,9.0,9.0,9.0,6.82,1
12958.0,6,14.0,14.25,",15.25,15.5,15.75,16.75",16.75,13.32,1
12958.0,8,17.0,17.25,",19.0,19.5,21.0",21.0,11.260000000000002,1
12958.0,4,21.0,,",21.0,25.0,26.25,27.75,29.75",,11.440000000000001,0
12958.0,0,24.0,24.5,",25.0,26.25,27.75,29.75",,5.710000000000001,0
13425.0,4,0.0,,",1.25",1.25,21.11,1
13425.0,3,7.0,7.0,",7.5",7.5,26.62,1
13425.0,1,17.0,17.5,",21.75",,19.57,0
13425.0,1,21.0,21.75,",21.75",21.75,19.57,1
13425.0,9,24.0,,",24.25",24.25,25.55,1
12961.0,3,0.0,1.0,",1.5,3.5,5.25",5.25,21.17,1
12961.0,3,21.0,21.75,",21.25,21.5",21.5,16.06,1
12961.0,0,7.0,7.25,",7.5,7.75,8.25,9.0,9.25",9.25,38.379999999999995,1
12961.0,6,14.0,16.5,",15.25,18.0",18.0,16.8,1
9515.0,8,0.0,0.5,",0.5",0.5,8.14,1
9515.0,8,14.0,14.0,",14.0",14.0,6.73,1
9515.0,1,17.0,17.0,",17.0,17.25,18.25,20.25,22.0",,15.07,0
9515.0,2,21.0,,22.0,22.0,3.09,1
9515.0,5,24.0,24.5,",24.5",24.5,11.38,1
12963.0,9,0.0,,,,0.0,0
12963.0,9,7.0,,,,0.0,0
12963.0,4,21.0,,",22.5",,2.3,0
12963.0,5,24.0,26.25,,,0.0,0
12964.0,0,0.0,1.5,",1.75,3.5",,1.96,0
12964.0,1,7.0,7.0,",8.0,10.75",,8.35,0
12964.0,1,21.0,21.0,,,0.0,0
12964.0,5,14.0,16.5,",17.5",,0.75,0
12964.0,2,24.0,,-1,,0.0,0
12965.0,9,0.0,0.25,,,0.0,0
12965.0,0,7.0,,,,0.0,0
12965.0,0,14.0,14.0,",15.75",15.75,13.16,1
12965.0,0,24.0,24.25,",27.5",27.5,22.02,1
12965.0,1,17.0,18.5,,,0.0,0
12965.0,3,21.0,22.75,",27.5",27.5,22.02,1
12966.0,6,0.0,0.25,,,0.0,0
12966.0,3,7.0,,,,0.0,0
12966.0,3,17.0,,,,0.0,0
12966.0,9,14.0,,,,0.0,0
12966.0,8,21.0,22.0,,,0.0,0
12966.0,1,24.0,24.0,",27.25",,0.91,0
12967.0,8,0.0,0.25,",2.5",2.5,21.56,1
12967.0,7,7.0,7.25,9.25,9.25,33.58,1
12967.0,7,17.0,19.25,-1,,0.0,0
12967.0,6,14.0,14.5,",16.25",16.25,18.57,1
12967.0,2,21.0,,-1,,0.0,0
12967.0,1,24.0,26.0,",25.5",25.5,17.68,1
12970.0,1,0.0,0.0,,,0.0,0
12970.0,8,7.0,7.0,",11.0",11.0,11.44,1
12970.0,6,14.0,14.25,",16.5",16.5,11.73,1
12970.0,2,17.0,17.25,-1,,0.0,0
12970.0,3,21.0,21.5,",25.25",25.25,30.22,1
12970.0,7,24.0,24.25,25.25,25.25,30.22,1
12971.0,2,0.0,5.75,-1,,0.0,0
12971.0,2,17.0,19.25,19.5,19.5,10.37,1
12971.0,1,7.0,7.25,",9.25",9.25,30.85,1
12971.0,1,14.0,14.25,,,0.0,0
12971.0,5,21.0,21.5,",24.5",24.5,23.86,1
12971.0,3,24.0,25.0,",24.5",24.5,23.86,1
12973.0,6,0.0,2.25,",2.25,2.5,3.25,3.75,4.25",4.25,10.64,1
12973.0,5,7.0,8.0,",10.0,10.25",10.25,14.290000000000001,1
12973.0,5,14.0,14.25,",14.25,15.25,16.0,16.5,17.0",17.0,13.040000000000001,1
12973.0,5,21.0,23.25,",24.25,25.5",25.5,11.17,1
12973.0,1,17.0,17.0,",17.0,18.25,19.0,19.25,19.5,20.75",,30.119999999999997,0
12975.0,9,0.0,3.5,",3.75",,1.15,0
12975.0,4,14.0,,",18.5,23.25,23.75",,6.24,0
12975.0,8,17.0,18.25,",18.5",,2.13,0
12975.0,0,21.0,22.5,",23.25,23.75",,4.11,0
12976.0,1,0.0,0.5,,,0.0,0
12976.0,1,24.0,24.0,,,0.0,0
12976.0,0,7.0,7.5,",7.5",7.5,14.84,1
12977.0,9,0.0,0.5,",2.25",2.25,17.57,1
12977.0,4,7.0,8.5,",9.0,9.25",9.25,23.770000000000003,1
12977.0,4,14.0,14.0,",14.5,16.0,20.25,20.5,23.0",,58.739999999999995,0
12977.0,4,17.0,18.75,",20.25",20.25,15.29,1
12977.0,6,21.0,21.0,",23.0",23.0,12.55,1
12977.0,8,24.0,24.0,",25.75",25.75,19.77,1
12979.0,5,0.0,1.5,,,0.0,0
12979.0,5,7.0,10.75,,,0.0,0
12979.0,8,17.0,18.0,,,0.0,0
12979.0,1,21.0,21.0,,,0.0,0
12980.0,4,0.0,,",8.25,9.75",,5.31,0
12980.0,3,7.0,,",8.25,9.75,12.0,13.75",,8.969999999999999,0
12980.0,3,17.0,18.0,",17.25,21.0",,4.11,0
12980.0,2,14.0,16.5,16.75,16.75,1.3599999999999999,1
12980.0,2,21.0,22.25,21.0,21.0,1.26,1
8601.0,5,0.0,0.75,",3.75",3.75,17.76,1
8601.0,8,7.0,7.0,,,0.0,0
8601.0,8,21.0,21.0,,,0.0,0
12983.0,2,0.0,3.0,-1,,0.0,0
12983.0,9,7.0,,,,0.0,0
12983.0,7,17.0,,-1,,0.0,0
12983.0,5,21.0,21.0,",21.5",21.5,33.28,1
12984.0,6,0.0,0.0,",3.75",3.75,27.44,1
12984.0,6,7.0,7.25,",10.25",10.25,19.09,1
12984.0,8,14.0,14.0,",17.5",17.5,11.02,1
12984.0,5,17.0,17.25,",17.5",17.5,11.02,1
12984.0,5,24.0,24.0,",24.5",24.5,11.68,1
12984.0,3,21.0,21.75,",24.5",24.5,11.68,1
12985.0,6,0.0,1.5,",2.5",,2.93,0
12985.0,6,24.0,,",24.75",,0.23,0
12985.0,0,7.0,7.25,,,0.0,0
12985.0,9,14.0,,",15.0,20.5",,7.62,0
12985.0,2,17.0,,20.5,20.5,0.59,1
12985.0,7,21.0,21.25,-1,,0.0,0
12988.0,1,0.0,4.25,",2.5",2.5,18.19,1
12988.0,6,17.0,17.0,",26.75",26.75,31.78,1
12988.0,2,21.0,21.25,-1,,0.0,0
12989.0,5,0.0,1.5,",1.0",,4.53,0
12989.0,1,7.0,7.75,",7.5,8.0",,3.37,0
12989.0,0,14.0,14.0,",15.5,17.0",,8.31,0
12989.0,9,21.0,,",25.0,27.25",27.25,16.14,1
12989.0,8,24.0,24.75,",25.0",25.0,5.8,1
12991.0,4,0.0,,",9.75",9.75,44.83,1
12991.0,4,24.0,26.5,",29.0",29.0,20.43,1
12991.0,0,7.0,7.25,",9.75",9.75,44.83,1
12991.0,8,17.0,19.0,",19.5",19.5,17.54,1
12993.0,3,0.0,2.0,",0.25",0.25,12.64,1
12993.0,1,7.0,7.5,",7.0,8.0",8.0,20.490000000000002,1
12993.0,4,14.0,,",14.5,14.75",14.75,33.94,1
12993.0,2,21.0,,22.25,22.25,13.72,1
12594.0,9,0.0,0.25,",2.0",2.0,21.44,1
12594.0,5,7.0,7.5,",8.75",8.75,13.78,1
12594.0,7,14.0,14.25,15.5,15.5,33.06,1
12594.0,4,17.0,17.5,",19.75",19.75,26.64,1
12594.0,0,21.0,21.0,",21.0",21.0,13.18,1
12994.0,2,0.0,,-1,,0.0,0
12994.0,4,7.0,,",10.5,11.75,16.25,16.5,17.0",,10.96,0
12994.0,0,14.0,15.0,",16.25,16.5,17.0,17.5,18.75,19.25,20.5,21.0",,18.04,0
12994.0,1,24.0,24.75,",24.75,27.5,29.0",,9.27,0
10093.0,1,0.0,2.75,",5.0",5.0,18.25,1
10093.0,4,7.0,,",11.25",11.25,20.41,1
10093.0,6,24.0,24.0,",26.0",26.0,29.28,1
15314.0,9,0.0,0.5,",0.5",0.5,14.43,1
15314.0,9,7.0,7.0,",8.75",8.75,23.38,1
15314.0,9,14.0,14.0,",15.5",15.5,33.75,1
15314.0,3,17.0,17.0,",19.75",19.75,25.7,1
15314.0,4,24.0,25.0,",28.25",,18.08,0
7117.0,0,0.0,1.25,",0.0",,9.81,0
7117.0,2,7.0,8.5,8.25,8.25,15.22,1
7117.0,2,17.0,17.75,-1,,0.0,0
7117.0,2,24.0,25.0,-1,,0.0,0
7117.0,8,14.0,,,,0.0,0
7117.0,7,21.0,21.75,-1,,0.0,0
12999.0,3,0.0,,,,0.0,0
12999.0,7,14.0,16.5,-1,,0.0,0
12999.0,8,17.0,20.0,,,0.0,0
12999.0,5,21.0,22.75,,,0.0,0
12999.0,9,24.0,,,,0.0,0
13000.0,2,0.0,4.0,-1,,0.0,0
13000.0,2,17.0,17.25,-1,,0.0,0
13000.0,3,7.0,8.0,",8.0",8.0,20.28,1
13000.0,5,14.0,15.25,",14.75",14.75,17.52,1
13000.0,7,21.0,23.75,-1,,0.0,0
13000.0,8,24.0,24.0,",24.25",24.25,29.99,1
13001.0,5,0.0,1.25,",5.75",5.75,8.32,1
13001.0,5,17.0,17.0,",18.75",,0.07,0
13001.0,8,7.0,7.0,,,0.0,0
13001.0,6,24.0,24.5,",25.25,27.25,29.0",,7.76,0
10147.0,6,0.0,2.25,",2.5,6.0",,2.88,0
10147.0,6,21.0,21.0,",29.0",,0.48,0
10147.0,1,14.0,14.0,",17.0,17.5",,13.2,0
10147.0,7,17.0,18.5,17.0,17.0,6.93,1
10147.0,9,24.0,,",29.0",,0.48,0
13003.0,9,0.0,0.25,",0.25,0.75",0.75,12.98,1
13003.0,9,7.0,11.0,",9.75,12.0",12.0,19.19,1
13003.0,0,14.0,14.0,",14.75,17.5,17.75,18.0",18.0,36.03,1
13003.0,0,24.0,26.25,",26.0",26.0,16.63,1
13003.0,3,21.0,22.5,",22.5",22.5,5.53,1
13006.0,0,0.0,1.75,",4.25,4.5,6.5",,15.5,0
13006.0,0,7.0,7.5,,,0.0,0
13006.0,3,24.0,,",28.5",,0.1,0
13007.0,4,0.0,,",3.0,9.0",9.0,25.47,1
13007.0,4,17.0,,",18.0",18.0,24.79,1
13007.0,4,21.0,,",21.75,23.25",23.25,28.759999999999998,1
13007.0,3,7.0,,",9.0",9.0,13.01,1
13007.0,2,24.0,,26.5,26.5,11.88,1
13010.0,2,0.0,,0.5,0.5,2.36,1
13010.0,5,17.0,17.0,",20.75",,0.98,0
13010.0,6,21.0,,",25.75",,8.08,0
13010.0,6,24.0,24.0,",25.75",,8.08,0
13013.0,7,0.0,1.0,-1,,0.0,0
13013.0,0,7.0,7.5,",8.5",8.5,13.67,1
13013.0,0,14.0,16.5,",14.25",14.25,15.58,1
13013.0,5,17.0,17.25,",18.5",18.5,8.67,1
13013.0,3,21.0,,",25.5",25.5,20.19,1
13013.0,6,24.0,24.0,",25.5",25.5,20.19,1
13014.0,7,0.0,0.75,0.5,0.5,16.87,1
13014.0,9,7.0,8.75,,,0.0,0
13014.0,2,14.0,14.75,16.5,16.5,7.94,1
13014.0,5,17.0,17.0,,,0.0,0
13014.0,0,24.0,24.25,,,0.0,0
13015.0,8,0.0,1.5,",2.0,2.75",,2.2800000000000002,0
13015.0,5,7.0,8.0,",10.25,11.0,12.5",,6.52,0
13015.0,7,14.0,16.5,14.25,14.25,1.72,1
13015.0,4,21.0,,",22.25,26.75,27.25,28.5,29.0",,12.47,0
13015.0,6,24.0,25.75,",26.75,27.25,28.5,29.0",29.0,11.520000000000001,1
13016.0,5,0.0,0.75,",1.0,1.25,2.0",2.0,9.309999999999999,1
13016.0,4,14.0,,",16.25,17.0,17.25,18.5,18.75,19.0,19.5,20.75,21.25,21.5",21.5,21.699999999999996,1
13016.0,4,24.0,,",27.5",,0.56,0
13016.0,1,17.0,17.0,",17.0,17.25,18.5,18.75,19.0,19.5,20.75,21.25,21.5",,21.130000000000003,0
13016.0,7,21.0,21.25,21.25,21.25,1.49,1
13019.0,7,0.0,,-1,,0.0,0
13019.0,2,7.0,15.75,7.25,7.25,23.59,1
13019.0,5,17.0,17.0,",17.25",17.25,28.44,1
13019.0,6,21.0,23.5,",23.75",23.75,39.8,1
13020.0,9,0.0,,,,0.0,0
13020.0,8,7.0,7.25,",7.5,11.5",,4.07,0
13020.0,4,17.0,,",21.75",,4.62,0
13020.0,1,21.0,21.5,",21.75",,4.62,0
13020.0,3,24.0,,,,0.0,0
13021.0,7,0.0,2.5,2.75,2.75,6.67,1
13021.0,4,7.0,,",10.0",,2.74,0
13021.0,4,24.0,,",26.75",,1.33,0
13021.0,6,17.0,17.0,",17.75,26.75",,4.98,0
